player_id,league_id,club_id,ClubName,#,PlayerName,ProfileURL,Position,DateOfBirth/Age,Nat.,MarketValue,ImageURL,dob_year,temp_id
1,1,1,Arsenal,,David Raya,https://www.transfermarkt.co.uk/david-raya/profil/spieler/262749,Goalkeeper,15/09/1995 (30),Spain,€40.00m,https://cdn.soccerwiki.org/images/player/76101.png,1995,1995davidraya
2,1,1,Arsenal,,Kepa Arrizabalaga,https://www.transfermarkt.co.uk/kepa-arrizabalaga/profil/spieler/192279,Goalkeeper,03/10/1994 (31),Spain,€10.00m,https://cdn.soccerwiki.org/images/player/64347.png,1994,1994kepaarrizabalaga
3,1,1,Arsenal,,William Saliba,https://www.transfermarkt.co.uk/william-saliba/profil/spieler/495666,Centre-Back,24/03/2001 (24),"France, Cameroon",€80.00m,https://cdn.soccerwiki.org/images/player/99086.png,2001,2001williamsaliba
4,1,1,Arsenal,,Gabriel Magalhães,https://www.transfermarkt.co.uk/gabriel-magalhaes/profil/spieler/435338,Centre-Back,19/12/1997 (27),Brazil,€75.00m,https://cdn.soccerwiki.org/images/player/89344.png,1997,1997gabrielmagalhães
5,1,1,Arsenal,,Piero Hincapié,https://www.transfermarkt.co.uk/piero-hincapie/profil/spieler/659813,Centre-Back,09/01/2002 (23),Ecuador,€50.00m,https://cdn.soccerwiki.org/images/player/104844.png,2002,2002pierohincapié
6,1,1,Arsenal,,Cristhian Mosquera,https://www.transfermarkt.co.uk/cristhian-mosquera/profil/spieler/646750,Centre-Back,27/06/2004 (21),"Spain, Colombia",€30.00m,https://cdn.soccerwiki.org/images/player/119511.png,2004,2004cristhianmosquera
7,1,1,Arsenal,,Myles Lewis-Skelly,https://www.transfermarkt.co.uk/myles-lewis-skelly/profil/spieler/890721,Left-Back,26/09/2006 (19),"England, Barbados",€45.00m,https://cdn.soccerwiki.org/images/player/128651.png,2006,2006myleslewis-skelly
8,1,1,Arsenal,,Riccardo Calafiori,https://www.transfermarkt.co.uk/riccardo-calafiori/profil/spieler/502821,Left-Back,19/05/2002 (23),Italy,€35.00m,https://cdn.soccerwiki.org/images/player/107765.png,2002,2002riccardocalafiori
9,1,1,Arsenal,,Jurriën Timber,https://www.transfermarkt.co.uk/jurrien-timber/profil/spieler/420243,Right-Back,17/06/2001 (24),"Netherlands, Curacao",€55.00m,https://cdn.soccerwiki.org/images/player/100881.png,2001,2001jurriëntimber
10,1,1,Arsenal,,Ben White,https://www.transfermarkt.co.uk/ben-white/profil/spieler/335721,Right-Back,08/10/1997 (27),England,€45.00m,https://cdn.soccerwiki.org/images/player/87633.png,1997,1997benwhite
11,1,1,Arsenal,,Martín Zubimendi,https://www.transfermarkt.co.uk/martin-zubimendi/profil/spieler/423440,Defensive Midfield,02/02/1999 (26),Spain,€60.00m,https://cdn.soccerwiki.org/images/player/104827.png,1999,1999martínzubimendi
12,1,1,Arsenal,,Christian Nørgaard,https://www.transfermarkt.co.uk/christian-norgaard/profil/spieler/148367,Defensive Midfield,10/03/1994 (31),Denmark,€11.00m,https://cdn.soccerwiki.org/images/player/60917.png,1994,1994christiannørgaard
13,1,1,Arsenal,,Declan Rice,https://www.transfermarkt.co.uk/declan-rice/profil/spieler/357662,Central Midfield,14/01/1999 (26),"England, Ireland",€120.00m,https://cdn.soccerwiki.org/images/player/90916.png,1999,1999declanrice
14,1,1,Arsenal,,Mikel Merino,https://www.transfermarkt.co.uk/mikel-merino/profil/spieler/338424,Central Midfield,22/06/1996 (29),Spain,€35.00m,https://cdn.soccerwiki.org/images/player/76248.png,1996,1996mikelmerino
15,1,1,Arsenal,,Martin Ødegaard,https://www.transfermarkt.co.uk/martin-odegaard/profil/spieler/316264,Attacking Midfield,17/12/1998 (26),Norway,€85.00m,https://cdn.soccerwiki.org/images/player/73424.png,1998,1998martinødegaard
16,1,1,Arsenal,,Eberechi Eze,https://www.transfermarkt.co.uk/eberechi-eze/profil/spieler/479999,Attacking Midfield,29/06/1998 (27),"England, Nigeria",€55.00m,https://cdn.soccerwiki.org/images/player/90783.png,1998,1998eberechieze
17,1,1,Arsenal,,Ethan Nwaneri,https://www.transfermarkt.co.uk/ethan-nwaneri/profil/spieler/890719,Attacking Midfield,21/03/2007 (18),"England, Nigeria",€55.00m,https://cdn.soccerwiki.org/images/player/125445.png,2007,2007ethannwaneri
18,1,1,Arsenal,,Gabriel Martinelli,https://www.transfermarkt.co.uk/gabriel-martinelli/profil/spieler/655488,Left Winger,18/06/2001 (24),"Brazil, Italy",€55.00m,https://cdn.soccerwiki.org/images/player/100768.png,2001,2001gabrielmartinelli
19,1,1,Arsenal,,Leandro Trossard,https://www.transfermarkt.co.uk/leandro-trossard/profil/spieler/144028,Left Winger,04/12/1994 (30),Belgium,€22.00m,https://cdn.soccerwiki.org/images/player/56415.png,1994,1994leandrotrossard
20,1,1,Arsenal,,Bukayo Saka,https://www.transfermarkt.co.uk/bukayo-saka/profil/spieler/433177,Right Winger,05/09/2001 (24),"England, Nigeria",€150.00m,https://cdn.soccerwiki.org/images/player/99607.png,2001,2001bukayosaka
21,1,1,Arsenal,,Noni Madueke,https://www.transfermarkt.co.uk/noni-madueke/profil/spieler/503987,Right Winger,10/03/2002 (23),"England, Nigeria",€40.00m,https://cdn.soccerwiki.org/images/player/102354.png,2002,2002nonimadueke
22,1,1,Arsenal,,Max Dowman,https://www.transfermarkt.co.uk/max-dowman/profil/spieler/1187629,Right Winger,31/12/2009 (15),England,,https://cdn.soccerwiki.org/images/player/157627.png,2009,2009maxdowman
23,1,1,Arsenal,,Viktor Gyökeres,https://www.transfermarkt.co.uk/viktor-gyokeres/profil/spieler/325443,Centre-Forward,04/06/1998 (27),"Sweden, Hungary",€75.00m,https://cdn.soccerwiki.org/images/player/94708.png,1998,1998viktorgyökeres
24,1,1,Arsenal,,Kai Havertz,https://www.transfermarkt.co.uk/kai-havertz/profil/spieler/309400,Centre-Forward,11/06/1999 (26),Germany,€65.00m,https://cdn.soccerwiki.org/images/player/88054.png,1999,1999kaihavertz
25,1,1,Arsenal,,Gabriel Jesus,https://www.transfermarkt.co.uk/gabriel-jesus/profil/spieler/363205,Centre-Forward,03/04/1997 (28),Brazil,€32.00m,https://cdn.soccerwiki.org/images/player/80266.png,1997,1997gabrieljesus
26,1,2,Manchester City,,Gianluigi Donnarumma,https://www.transfermarkt.co.uk/gianluigi-donnarumma/profil/spieler/315858,Goalkeeper,25/02/1999 (26),Italy,€40.00m,https://cdn.soccerwiki.org/images/player/82209.png,1999,1999gianluigidonnarumma
27,1,2,Manchester City,,James Trafford,https://www.transfermarkt.co.uk/james-trafford/profil/spieler/566799,Goalkeeper,10/10/2002 (22),England,€22.00m,https://cdn.soccerwiki.org/images/player/114334.png,2002,2002jamestrafford
28,1,2,Manchester City,,Stefan Ortega,https://www.transfermarkt.co.uk/stefan-ortega/profil/spieler/85941,Goalkeeper,06/11/1992 (32),"Germany, Spain",€8.00m,https://cdn.soccerwiki.org/images/player/53112.png,1992,1992stefanortega
29,1,2,Manchester City,,Marcus Bettinelli,https://www.transfermarkt.co.uk/marcus-bettinelli/profil/spieler/116648,Goalkeeper,24/05/1992 (33),"England, Italy",€600k,https://cdn.soccerwiki.org/images/player/64301.png,1992,1992marcusbettinelli
30,1,2,Manchester City,,Josko Gvardiol,https://www.transfermarkt.co.uk/josko-gvardiol/profil/spieler/475959,Centre-Back,23/01/2002 (23),Croatia,€75.00m,https://cdn.soccerwiki.org/images/player/97458.png,2002,2002joskogvardiol
31,1,2,Manchester City,,Rúben Dias,https://www.transfermarkt.co.uk/ruben-dias/profil/spieler/258004,Centre-Back,14/05/1997 (28),Portugal,€65.00m,https://cdn.soccerwiki.org/images/player/85994.png,1997,1997rúbendias
32,1,2,Manchester City,,Abdukodir Khusanov,https://www.transfermarkt.co.uk/abdukodir-khusanov/profil/spieler/763079,Centre-Back,29/02/2004 (21),Uzbekistan,€35.00m,https://cdn.soccerwiki.org/images/player/129988.png,2004,2004abdukodirkhusanov
